Sex,role,dataset,acton,About
Male,a,ew,Pass,It reminds me of a situation where you find money and you are confronted with whether or not you should give it back or keep it for yourself.
Male,b,ew,Pass,It reminds me of a team work decison.  It took the counterpart to make me the loan and in turn myself to divide it up.  We worked together and both benefited.
Female,b,ew,Pass,it reminds me of asking for a new member in a club for money and not knowing if they'll give it
Male,b,ew,Pass,"It reminds me of being given a gift and not having to give one in return.  She shared with me, it would have been selfish not to give back to her what she gave to me."
Male,a,ew,Hold,"It reminds me of everyday situations where I must make a decision of trust. It also reminds me of life in the real world, trusting strangers with money and such. People tend to be greedy."
Male,b,ew,Pass,"it reminds me of lots of problems you have when trying to divide up money, responsibility and other things that requires trust"
Male,a,ew,Hold,It reminds me of my brother always asking for me to pay for mom and dads christmas gift
Female,a,ew,Pass,"It reminds me of the ""criminals problem"" in economics.  If i expecton the other person to make the jealous choice and take all the money then I ought to choose the option where i keep all my money."
Male,a,ew,Pass,It reminds me of the prisoner's dilemma that we learned about in Econ 211.  You can play it safe and earn a little or take a chance and potentially earn more.
Male,a,ew,Pass,"It reminds me of the stock market, I can lose money or make more if I would loan it."
Male,a,ew,Pass,"it reminds me of the television show ""Let's make a deal""."
Female,a,ew,Pass,it reminds me of the time I lent my friend in return he was going to pay it back little by little but never did pay me fully.
Male,b,ew,Pass,"IT reminds me of the venture capitalist market. The person with an idea is lended money, and the lender owns the company partly."
Female,a,ew,Hold,"It reminds me of times when you have to give someone something and not knowing what you are going to get back in return, you just have to trust them with what you have."
Male,b,ew,Pass,It reminds me of times when you have to give up something for someone else or be selfish and keep everything like times when friends really do ask you for money or even help and you're busy.
Female,b,ew,Hold,It reminds me of when little kids have to share food or toys and they always want to have more than the other.
Female,a,ew,Pass,"It reminds me somewhat of investing me and being unsure of return, however in this case, the return is depended on someone else's greed."
Male,b,ew,Pass,It reminds of someone loaning me some money in the hopes of getting something back in return.
Male,a,ew,Pass,"it seemed comparable to the ""prisoner's dilemma,"" wherein we would have both been better off had we had the benefit of communication, as opposed to what did happen: i lost 7.50."
Female,a,ew,Hold,it tested my trust of a complete stanger
Female,a,ew,Pass,"It was a bit odd, I guess. I'm not really sure if he was given the option of loaning me $10 or not (that wasn't really explained).  I'm not even really sure if there is some other kid at another un"
Male,b,ew,Pass,"It was a case of mutal benefit, where I asked someone for a loan so that I could achieve something and they would also get something in return.  It reminded me of borrowing money from a acquaintanc"
Male,a,ew,Hold,It was a difficult decision to make because I could have made more money by giving the counterpart the loan.  I was too worried that the person would have been greedy and not given anything back.
Male,b,ew,Pass,"It was basically a decision based on what my counterpart looked like.  If she looked nice, maybe she would give me the money.  But most likely, as college students, we would not loan the money, see"
Male,b,ew,Pass,It's a situation of whether you trust the looks of someone.
Female,b,ew,Pass,"It's kind of like gambling with money that is not yours.  I came in withnothing, so I might as well go for broke."
Male,b,ew,Pass,it's kind of weird what was the point? are we actually getting this $? i am fairly confused........
Male,a,ew,Pass,Lending someone who you don't really know your notes or such.
Male,a,ew,Hold,"Loaning friends money, you usually get back exactly what you gave them."
Male,a,ew,Pass,loaning money to a friend
Male,b,ew,Pass,"loaning money to your friends, because most likely you won't get it back"
Male,b,ew,Pass,my mom taking $10 from my dad in order to buy him a $10 present
Female,b,ew,Pass,Negotiating a loan with the bank.
Male,b,ew,Pass,Often people take loans in order to afford something.  If I were to give all the money back to him then I would be right were I left off.  I might later on down the road need some of that loan.  I
Male,b,ew,Pass,"One time I was offered to sell atr at an art show. The guy in charge told me that I could have one person to help me, and pay them what I thought was fair.  I decided to pay my friend half.  If the"
Male,b,ew,Pass,"paper, rocks, and scissors"
Male,b,ew,Pass,People with no money always asking for more.
Female,a,ew,Pass,Prisoner's Dilemma
Male,b,ew,Pass,reliability in dealing with others.
Male,b,ew,Pass,"Since this is only an experiment where are answers are done by computer, and results of how much money we will actually receive have not been totaled, I can only assume that perhaps he didn't loan"
Male,b,ew,Pass,"some trust factor there. stocks, chance, that kinda thing"
Female,a,ew,Hold,Someone you don't know well or trust asks to borrow money and you don't know if you will get it back.  Based on what you know about them how do you ddecide?
Female,a,ew,Hold,"The decision was one that took trust.  For me to sit here and hand money over to a complete stranger in hopes that he would return some of it, its a big step of faith.  And then to have close to no"
Female,a,ew,Pass,The experiment asked an extremely wide variety of questions that all people could relate to. I liked this experiment and hoped my answers are useful. At first I thought the question of much money I
Male,a,ew,Pass,The rate of return
Male,b,ew,Pass,There aren't many loans where you can choose to only give back part of the money. I wish there were. Why would anyone give all the money back? It doesn't seem very realistic. I decided not to keep
Female,b,ew,Pass,"This decision problem doesnt remind me anything specific, really.  I guess maybe the time my great aunt gave me 100 dollars and told me to share with my brother.  I gave him half even though I didn"
Female,b,ew,Hold,"This decision problem reminds me of loaning money to a friend.  If he wants, he can use all of it and give you the rest or keep the change and give you ten later."
Female,b,ew,Hold,This doesn't really remind me of any kind of situation.
Male,b,ew,Pass,"This doesn't remind me of anything, specifically, i guess it kind of seems like gambling.  i just figured we both wanted some money."
Male,a,ew,Pass,This is a situation in which you put your complete trust in a stranger in order to captalize on profit.  Perhaps this is similiar to a credit cards decision on how much to give credit limit wise ba
Male,b,ew,Pass,"This is similar to loaning money to a stranger you have just met, and you may get your money back, either in full or part."
Female,a,ew,Hold,"This like loaning money to someone you will probably will never see again, you are unlikely to get any of it back."
Female,b,ew,Pass,This problem reminds me of being at a casino and playing blackjack.
Male,a,ew,Pass,This problem reminds me of having to make a decision based on what someone looks like and basing your sole decision on that factor. I basically just decided that he looked like any other person I w
Male,b,ew,Pass,This reminds me of a game I played once where partners try to think of a number then the sum of the numbers gains each player a certain number of points.  The best and fairest way to play the game
Male,b,ew,Pass,This reminds me of deciding how to divide a business among people who are co-owners.
Male,a,ew,Hold,This reminds me of how you cannot trust others to handle your own money....unless it is a reliable source.
Male,a,ew,Pass,This reminds me of investing in the stock market
Female,a,ew,Pass,"This reminds me of someone asking their friend to borrow money.  In college this happens alot, and it is a matter of trust as to whether or not the person will loan you the desired amount.  The mor"
Female,a,ew,Pass,this reminds me of trusting strangers
Male,a,ew,Pass,"This reminds me of when a lender lends out his/her money.  They take the risk that they might not get the money back, but they usually get more because of interest."
Male,a,ew,Pass,THIS REMINDS ME OF WHERE YOU LEND YOUR FRIEND SOME MONEY AND THEN THEY NO LONGER BECOME YOUR FRIEND ANYMORE.
Male,a,ew,Pass,This situation doesn't really remind me of any situation.  I think that the outcome makes sense because you can't really judge a person by the extremely limited amount of information you have been
Male,b,ew,Pass,"This situation is an economic situation in which my lender must first decide if she wants to take the risk of lending me money.  Then, knowing nothing about her I have to decide how much money I am"
Female,a,ew,Pass,This situation remind me of betting at the dog tracks. You never know how much to bet again when u are ahead.
Male,a,ew,Pass,"This situation reminds me of another experiment I did, except that in this case, I took all the money. My counterpart seemed trustworthy, so I had no problem giving him $10."
Female,a,ew,Pass,This situation reminds me of any type of investment opportunity where there is a chance that all money invested will be lost.
Male,a,ew,Pass,"this situation reminds me of leanding money to a close friend



"
Male,b,ew,Pass,"This situation reminds me of the type of decision you would make if you were faced with a problem involving values. For example, if you were given too much change back when you paid for an item in"
Male,a,ew,Pass,This situation reminds me of two blind men trying to pour water into each other's jugs.
Female,b,ew,Pass,This situation reminds me of when my roommate wants to borrow money from me to pay rent but I dont have enough hardly to pay my own but I give her a little to help out
Male,b,ew,Pass,"This situation reminds me of when there is a possibility for things to work out in a business deal, but people are too selfish to let down their guard and realize that by working together things ca"
Male,a,ew,Pass,"This somewhat reminds me of being asked for money by a homeless person.  If I had assurance that they would use it for food, I would be inclined to give more.  However, because I suspect that the m"
Male,a,ew,Pass,This sort of decision problem reminds me of the stock market.  You are given the option of putting your money into something where you could make more or lose it all and you do not know the outcome
Female,b,ew,Pass,This was a decision of fairness and I wanted to be as fair as possible so I divided it by two
Female,b,ew,Pass,Trust and credibility.  Though i didnt understand why I would allocate money after getting it back from a loan?
Male,a,ew,Pass,"trust, how much faith you have in someone else, jugding by outward appearance, lending a friend money without really knowing if they were ever going to pay you back"
Female,b,ew,Pass,"Trust, perception of somebody at first sight"
Male,b,ew,Pass,"trusting a friend, you have to give some, in order to receive.  someone has to be willing to loan something out, willing to get hurt, but unless they do, no one wins.  and hopefully, as in my case,"
Male,a,ew,Hold,"Well I have never met this guy before, therefore it makes no sense to just loan him 10 dollars.  He could've just taken it and left.  Even if we were friends, money should'nt always be loaned or no"
Male,b,ew,Pass,Well I initially thought he would loan me the money because I was smiling in my picture and don't look particularly menacing.... But I was also skeptical because he's a guy and is probably more pra
Male,b,ew,Pass,"Well, if I'm asking my correspondent to lend me money, then it would make more sense for me to keep more of the money and pay him back later. It reminds me of bank loans."
Male,b,ew,Pass,well... the other person participated in this study for the only purpose of making some extra dollars. so i dont think it would be reasonable to think that they would like to share the money they e
Female,b,ew,Pass,"When you are trying to collect some money for something that may possibly benefit many people, say a keg of beer, but you don't really know the people you are collecting from.  In this case, you mu"
Male,b,ew,Pass,When you owe a friend money and you have it but you decide to pay it back in installments rather than all at once.
Male,b,ew,Pass,i didn't want to take frpm the person because that would creat an emey. it is like stealing from a friend
Male,b,ew,Pass,"I found this to be strange and short.. it kinda reminds me of how we treat people in the real world. We can either be nice and share, or we can be selfish and keep everything for ourselves."
Female,b,ew,Pass,I guess of a situation where you make a guess as to if your counterpart is willing to give you something without expecting anything in return.
Male,b,ew,Pass,I'd say it follows the saying treat people the way you wish to be treated. i gave them 10 back because i assumed theyd do the same.
Male,a,ew,Pass,It reminds me of a situation with friends.  Friends always ask to borrow money and you never know if they will give it back or not.  It's always a risk and you make a judgment call.  I made a judgme
Male,a,ew,Pass,It reminds me of having faith in the other person to do what is right so both people can benefit and also to share and not be greedy
Female,a,ew,Pass,it reminds me of situation i go through everyday when lending my roomate money. i never know whether or not i will get the money back or he will keep it.
Female,b,ew,Pass,It reminds me of situations where people help out one another.  She deserved to be paid back in some form.
Male,b,ew,Pass,"It seemed like a test of honesty and ethics. I had to make a choice of being too greedy, too nice, or fair."
Male,a,ew,Hold,loaning money to a stranger is definitely a gamble and a risk
Female,b,ew,Pass,one where I am trying to be fair to another person or group of people in handing out opportunities or resources
Female,b,ew,Pass,"Sure, there's lots of times this reminds me of.  However, if the other person knew the benefit of both of us, and knew i was going to be fair, then he probably would have loaned it.  Moreover  if so"
Female,a,ew,Hold,"The person face appreance is very import to me beace, I can predict whether the person trustworthy or not. THe problem reminds me of a stranger asking a loan from me. And I decide wheter loan or not"
Male,a,ew,Hold,The prisoners dilemma
Male,b,ew,Pass,"This experience is interesting.People show trustness to each other.



I am happy with the result."
Male,b,ew,Pass,this seems like a cooperation or probability expt.
Male,b,ew,Pass,Trading online where u cant really jusdge the item u are bying physically.Ever
Female,b,ew,Pass,Trust and negotiation
Male,b,ew,Pass,I didn't like that last choice it didn't feel right
Female,a,ew,Pass,"I I FIRGURE IF SOMEONE NEEDS THE MONEY MORE THAN ME THAN I AM GOING TO LOAN THEM THE MONEY.  WHAT IS IN 10 DOLLARS.  I BELIEVE IN KARMA, WHAT GOES AROUND COMES AROUND. SO THEREFORE DOING A GOOD DEED"
Female,b,ew,Pass,I think that this is definitely a problem in which you are analyzing risks due to the nature of the questions we answered in the questionairre.  It reminds me of the old game shows where they would g
Male,a,ew,Pass,I thought that i should lend the money as she had similar intrests.
Male,b,ew,Pass,I thought the decision problem was good. I think some will keep all the money. This problem reminded me of a selfish person making a choice.
Male,a,ew,Pass,I was just hopying that the other part was nice. When I receive money I always like to return it. So I was hopying the same for the other party
Female,a,ew,Hold,It reminds me of making a decision of whether or not to loan money to a friend.  How much I get back may not be the amount that I loaned.
Female,b,ew,Pass,It reminds me of monopoly.  Where you are considering trading a piece of property with someone else.
Female,a,ew,Hold,It seems risky to lend the money because the counterpart might be tempted to keep all or most of the money.
Male,a,ew,Hold,it was a daring situation where you had to trust your instincts and thoughts.
Female,a,ew,Pass,"Its not really like any situation I've ever been in.  I guess its kind of like the stock market, in that you have to take a risk and could come out a head or behind."
Female,a,ew,Hold,"Loans,friends, and whether they will pay you back"
Male,a,ew,Pass,"The decision problem is a question of trust and of ethics.  On the one hand , you must trust your partner to do the best option for both of you, and then your partner must also do the ""right thing"" a"
Male,b,ew,Hold,there were so many of them i do not know are remember which one i could chose from
Female,b,ew,Pass,This kind of situation reminds me of investing money in the stock market.  You need to think about the effects of your decision before you go about investing money in something that you are not sure
Male,a,ew,Hold,This reminds me of a situation where I would actually loan someone money or something else of value to me.  There is a risk involved about getting the money returned to you.
Male,a,ew,Pass,"This reminds me of betting on something, risking and woundering what was going to happen."
Male,b,ew,Pass,This situation reminded me of the prison situation example we went through in microeconomics class last semester.
Male,b,ew,Pass,"This situation reminds me of game theory.  Although we could have doubled the money, my partner did what he/she thought was best for him/her."
Male,b,ew,Pass,This situation reminds me of letting someone borrow something and taking the chance of not getting it back in return or settling for something less.
Male,b,ew,Pass,Well it is funny cause we are supposed to trust someone we know very little about that they will make a choice we will like. It reminds me of trusting with hope that you are making the right decision
Male,a,ew,Hold,"Well, I had to loan money to the person I don't know and that's risky."
Female,b,ew,Pass,"Well, if you are doing business every partner shall receive same amount, provided each party does the same job... That's my perspective in doing businesses."
Male,a,ew,Pass,When you put your complete trust into someone and they let you down or they take advantage of you.
Male,a,ew,Hold,"     This situation reminds me of a person who wants me to give him money for some investment and promise me to double the money I give him. In reallity, he is going to take all the money and run away"
Male,a,ew,Pass,"  This reminds me of lending money to a close friend who takes advantage of you when you have money, and he doesn't but you expect him to pay you back.  Sometimes people trust other people too much."
Female,a,ew,Pass, I didn't really like the problem because it seemed to rely on chance and randomness. This reminds me of a situation called the prisoner's dillema that I learned about in a Poli Sci class.
Male,a,ew,Pass,&*
Female,a,ew,Hold,a bank and a person who wants a loan
Female,b,ew,Pass,A complete stranger asking for money.
Male,b,ew,Pass,A computer science experiment in which programs competed for the highest score in a series of exchanges.
Female,a,ew,Pass,"A single session, non-communicative Prisoner's Dilema with alternative options.  The penalties for chosing right are greater, while the penalties for chosing wrong are slightly larger."
Male,a,ew,Pass,a situation involving a family memeber gborrowing mondney and promising to pay interest and not doing it
Male,a,ew,Pass,"A situation where you must guess what trends are about to happen, like in the business world."
Male,b,ew,Pass,"An immediate loan that I would pay back as soon as possible.  I knew I could get the money, but didn't have it.  Borrow from a friend and pay them back"
Female,b,ew,Hold,"an internet con. I answered truthfully, but that's not the point. I could have lied and no one would know. I suppose I violated this person's trust, but what did they know about me? Perhaps they got t"
Female,a,ew,Hold,"As taught in most economics classes, I believe that people are selfish and rational.  If I did loan $10 to the other person then I was taking a huge risk.  If my counterpart decided to keep the entire"
Male,a,ew,Pass,Asking for a favor and  returning it fairly
Male,b,ew,Pass,"At first I wanted to keep the 20 dollars for myself, but I ended up decided to keep only 10 dollars since I would not have earned the ten dollars if she had not loaded it to me.  I'm not too sure what"
Female,b,ew,Pass,Because he thinks it he is better off getting 2.50 instead off 0 he will accept my offer of me getting 17.50 and he just 2.50. A situation that I'm mostly in control
Female,b,ew,Pass,Being fair. Do unto others as you would expect them to do unto you.
Male,a,ew,Pass,borrowing money from a bank
Female,a,ew,Pass,Buying dinner at a fast food restaurant
Female,a,ew,Pass,Choosing to support some new organization or business.  I guess it's an investment.
Male,b,ew,Hold,Dealing with roommates
Male,a,ew,Pass,Deciding whether or not to trust someone.
Male,b,ew,Pass,"Dividing teams up for sports or any other activity in which fairness and impartiality is required, but the divider is still making his own team."
Female,a,ew,Pass,Dividing up a budget for any event. Deciding what to do with money given as a present or unexpected within a family. Mostly planning with bad comunication.
Male,b,ew,Hold,Economics Game Theory
Male,b,ew,Pass,Finders keepers. But I decided to be nice and give a little to the other party.
Male,a,ew,Pass,"First of all, I had made up my mind to loan the money right away, but then I had second thoughts when I learned it was a male on the other end, and then I felt bad about thinking twice soley based on"
Male,b,ew,Pass,"Frankly, it reminds me of a situation in which I only have a hint of what's even going on!  I guess this problem makes me think of situations in which a person wants to maximize the benefit to themsel"
Male,a,ew,Pass,Gambling
Male,a,ew,Pass,Gambling.
Male,a,ew,Hold,gambling.  It involved trusting people to some extent but I couldn't even ask the person to please give me half the money.  I assumed she was a broke college student like me and would be heartless. 
Male,a,ew,Pass,Game theory from econ 211. Two prisoners are separated and asked to rat out the other to lower their own sentence.
Male,b,ew,Pass,getting a bank loan.
Male,a,ew,Hold,having friends of friends ask you for money that you are not sure are trust worthy.
Male,a,ew,Pass,He/She his/her $10 and I got mine. Win/win stuation.
Male,a,ew,Pass,"Hmm...maybe a bank loan or something? It's a gamble on whether you'll get it back or not. It's okay though, I'm not religious but I do believe what goes around comes around and such. Whoever kept my m"
Female,b,ew,Pass,"Honestly, I wasn't quite sure how my decision affected the money I made. I assumed that I had to weigh how much he would be likely to give and try to maximize what I kept in comparison to what he gave"
Male,b,ew,Pass,"i chose this answer because i thought it was fair, it reminds me of some formula we learned in econ class about criminals in jail"
Male,b,ew,Pass,I don't know really.  I just gave my counterpart the same amount as myself because he was nice enough in the beginning to give me a loan.
Male,b,ew,Hold,"I don't know what it reminds me of, but I made the decision based on what situation was in my best interest."
Female,a,ew,Hold,"I don't like to gamble with my money, especially when I'm counting quarters to buy a drink at 7-11. Although I might have ended up with more money than this if I had loaned some to the other person, I"
Female,b,ew,Pass,"I don't quite understand what the point of it was, but it seemed interesting.  It reminded me of situations involving my friends and the sometimes stingy flow of money between us."
Male,b,ew,Pass,I don't think it reminds me of any particular situation.
Male,a,ew,Pass,i dont know what kind of situtation this reminds me of cause ive never lent money to anyone online and then rely on his kindness to return it.
Female,a,ew,Pass,"I figured that if I lent the money most probably I would not be repaid, but if that was the case then, if there was a 'next time' I would not lend money to the person again.  It reminds me of when peo"
Male,b,ew,Pass,I guess I didn't like not knowing anything about the other person or what their thought process would be...
Female,a,ew,Pass,I guess it reminds me of an investment in a company.
Female,b,ew,Pass,I guess this kind of reminds me of giving gifts.  It's a guessing game of what you're going to get and what you should put into what you give.
Male,a,ew,Pass,"I had to risk loosing everything but because I did not want to believe that my counterpart was a mean person, I went ahead and loaned him the money hoping that we would end up with equal amounts of mo"
Male,b,ew,Pass,I honestly can't think of a situation that this problem reminds me of.
Male,a,ew,Pass,I made a profit for someone for free. I got all my money back and it only took a split second.
Female,b,ew,Pass,"I needed to borrow some money and he loaned it to me, so I more than repayed him to thank him for lending me the money."
Male,a,ew,Hold,"I participated in a similar situation in highschool.  If everyone in the group would have cooperated, then everyone would have been better off.  Instead, everyone tried to do what they thought would g"
Male,b,ew,Pass,"I realized that my partner took a risk in lending me money, but economically we will both come out ahead by the same amount if he chooses the same option that I did."
Male,b,ew,Hold,I really don't know.  Maybe when a friend needs a loan and can't afford to pay the other person back or really needs the money.
Female,b,ew,Pass,"I really have no idea, maybe an internet scam"
Male,b,ew,Pass,I remember the previous experiment in which we pocketed and left in envelope certain amount of money.
Male,b,ew,Hold,I reminds me of borrowing money from my parents and then never paying them back. It is not a bad situation to be in.
Female,a,ew,Pass,"I suppose this reminds me of situations in which trust is required for mutual benefits, such as in trade etc.  My decision to choose option 5 rested on the fact that the other would reciprocate my dec"
Male,a,ew,Pass,I think it basically says to take advantage of a situation when you have the opportunity. 
Female,a,ew,Pass,I think that the situation was a very risky one in that I had to hope that my counterpart would choose the more fair answer over the more selfish answer. It reminds me of the general situation in whic
Female,b,ew,Pass,"I thought it was a difficult decision to make, I wanted money but I didn't want to take everything from my partner though it would have been nice."
Male,a,ew,Pass,I thought it was pretty fair.  It seemed like a pretty difficult question because if my counterpoint had been self-serving I could have ended up with nothing but then I had already shown some faith by
Male,b,ew,Pass,"I thought that by loaning me the 10 dollars, with 20 dollars, I would have the possibility of making more money for the both of us than if we had 10 dollars each."
Female,b,ew,Pass,"I thought that if I give them some, maybe even more of my money, then they will be more willing to share what they have as well.  So that we could possibly, together, earn more money."
Male,b,ew,Pass,I thought that it was rather interesting. You ask someone for a loan and then you decide whether or not to give all or none of it back. This problem reminds me of a situation when you are robbing or c
Male,b,ew,Pass,"I took the loan from the standpoint that a friend let me borrow ten bucks, and so I paid her back when I could."
Female,b,ew,Pass,"I was asked to determine whether a person would be nice enough to loan me money based on a few details, I guess it reminds me of normal situations when i am in need of money but i would not usually as"
Female,a,ew,Pass,"I was surprised that my counterpart went with option 4.  If they were going to keep my money, they should have gone for broke and kept all of it.  By loaning the money I was trying to keep things even"
Female,a,ew,Pass,I was trusting of someone I didn't know and he screwed me over by not being as generous as I was.  I had a feeling he would keep more money  but I though he would be a little generous and give me some
Male,b,ew,Pass,"I was trying to convince someone to do something, but I couldn't talk to them and explain why."
Female,a,ew,Pass,I would say it reminds me of the uncertainty of lending people money ... that there usually has to be trust involved that they will make fair decisions concerning others.
Female,b,ew,Pass,I'm confused as to why the loan was doubled.
Female,a,ew,Pass,"I'm not sure what this reminds me of, but I thought the other person would want to split the money and be nice because that is what I would have done"
Male,a,ew,Pass,"I'm reminded of situations in which I'm low in cash and my friends loan me money. Back in high school, people often asked for loans during lunch. Oftentimes, they were not close friends, yet I still l"
Female,b,ew,Pass,"if he had asked me money i d have given it to him.



this kind of problem didnot remind me of anything."
Male,b,ew,Pass,"if i couldn't do something without someone else, then I would certainly split it along how much was done on his part.  such as if i went climbing with my friend and i needed his help sometimes and he"
Male,b,ew,Pass,if i loaned him my money there is a chance i would get none  of it back
Female,b,ew,Pass,"If I was loaned ten dollars, it would be fair to give that amount back, and more for the other person since they went to the trouble of giving me the money. This situation reminds me of loaning money"
Female,b,ew,Hold,If something was given to a group of people but it wasn't distributed evenly and it was left up to the person who was initially given the object or objects to make the decision for the rest of the gro
Female,b,ew,Pass,"if the other person realized that we could both profit from the decision, then it would have been harsh or foolish on her part.  this is a situation that can be equated with the state of the world tod"
Male,a,ew,Pass,"In retrospect, I would not have lent 10.00 to my counterpart.  This problem is actually a lose-lose situation, as my counterpart would not willingly give up his share of the money to benefit an anonym"
Male,b,ew,Pass,"in this experiment, i was thinking that there was going to be more than one step.  Therefore, i wanted to first build trust with the person by giving him the same amount that he loaned me.  I figured"
Male,a,ew,Hold,"It boils down to the ""hostage scenerio"". If you trust the person, you will obvisously loan them more money. I did not, so I did not."
Female,a,ew,Pass,"It envolves the character of people and their thriftiness. I gladly lend money to my friends, and many people are greedy unfortunantly and could care less about paying the loan back"
Male,a,ew,Pass,It is a problem of whether or not to trust someone based only on physical appearance.  I'm sure my picture didn't look very trustworthy as I was pretty tired and looked like hell.  I felt the my count
Male,b,ew,Pass,"It is a risk assessment situation, for I have no risk in losing any money because I did not set out with any of my own. I only stand to win, and I chose an equitable method of gaining money, not losin"
Male,a,ew,Pass,it is ina way lik ethe prisoner's dilema presented by glaucon in the Republic in which you can be a good person or a bad person and another person has the same descisons.  if you both choose to be the
Male,a,ew,Hold,"It is like an informal lending to a friend, you don't know how much (if any) you will get back."
Male,a,ew,Pass,"It is somewhat similar to a Prisoner's Dilemna.  I did not know what decision my counterpartner would make, and on our decisions together determined what our benefits would be."
Male,a,ew,Pass,It is was a gamble on the nature of another human being.  The only problem was he had no incentive to return my money. 
Male,b,ew,Pass,"It kind of reminds me of the prisoner's dilemma. My partner would know that loaning me the $10 could result in him receiving nothing, according to the list of options on how the money could be split."
Male,a,ew,Pass,"It kinds of reminds me of gambling.  If I loaned one of my friends money to go gamble on something, it seems like they would take that, and then return to me whatever I gave them without tellig me how"
Male,a,ew,Pass,It made me think that the experiment was based on how you decide whether you trust someone based on the way they look and present themselves.  I guess if kind of reminds me of how when someone you kno
Male,b,ew,Pass,It made me wish I wore a tie!
Male,a,ew,Hold,"It really doesnt remind me of another situation, but it is hard to trust an unknown person. I was not sure if he would return the loan or take it all."
Male,b,ew,Pass,"It remind me of: settling, being fair, being reasonable.  I should have been unreasonable and kept all $20.  I know, now, I would have gotten them.  This was very interesting...I will be finding out t"
