ID,role,ewaction,action,Sex,female,About
134,a,1,Pass,Female,1,"		 This situation reminds me of any type of investment opportunity where there is a chance that all money invested will be lost."
304,a,1,Pass,Male,0,"		 this situation reminds me of leanding money to a close friend"
647,b,3,Pass,Male,0,"		 This situation reminds me of the type of decision you would make if you were faced with a problem involving values. For example, if you were given too much change back when you paid for an item in"
3522,a,1,Pass,Male,0,"		 This situation reminds me of two blind men trying to pour water into each other's jugs."
124,b,4,Pass,Female,1,"		 This situation reminds me of when my roommate wants to borrow money from me to pay rent but I dont have enough hardly to pay my own but I give her a little to help out"
3566,b,99,Pass,Male,0,"		 This situation reminds me of when there is a possibility for things to work out in a business deal, but people are too selfish to let down their guard and realize that by working together things ca"
3542,a,1,Pass,Male,0,"		 This somewhat reminds me of being asked for money by a homeless person.  If I had assurance that they would use it for food, I would be inclined to give more.  However, because I suspect that the m"
649,a,1,Pass,Male,0,"		 This sort of decision problem reminds me of the stock market.  You are given the option of putting your money into something where you could make more or lose it all and you do not know the outcome"
1099,b,5,Pass,Female,1,"		 This was a decision of fairness and I wanted to be as fair as possible so I divided it by two"
608,b,4,Pass,Female,1,"		 Trust and credibility.  Though i didnt understand why I would allocate money after getting it back from a loan?"
1107,a,1,Pass,Male,0,"		 trust, how much faith you have in someone else, jugding by outward appearance, lending a friend money without really knowing if they were ever going to pay you back"
162,b,5,Pass,Female,1,"		 Trust, perception of somebody at first sight"
1058,b,5,Pass,Male,0,"		 trusting a friend, you have to give some, in order to receive.  someone has to be willing to loan something out, willing to get hurt, but unless they do, no one wins.  and hopefully, as in my case,"
645,a,2,Hold,Male,0,"		 Well I have never met this guy before, therefore it makes no sense to just loan him 10 dollars.  He could've just taken it and left.  Even if we were friends, money should'nt always be loaned or no"
1125,b,99,Pass,Male,0,"		 Well I initially thought he would loan me the money because I was smiling in my picture and don't look particularly menacing.... But I was also skeptical because he's a guy and is probably more pra"
1070,b,4,Pass,Male,0,"		 Well, if I'm asking my correspondent to lend me money, then it would make more sense for me to keep more of the money and pay him back later. It reminds me of bank loans."
508,b,99,Pass,Male,0,"		 well... the other person participated in this study for the only purpose of making some extra dollars. so i dont think it would be reasonable to think that they would like to share the money they e"
3574,b,5,Pass,Female,1,"		 When you are trying to collect some money for something that may possibly benefit many people, say a keg of beer, but you don't really know the people you are collecting from.  In this case, you mu"
1092,b,5,Pass,Male,0,"		 When you owe a friend money and you have it but you decide to pay it back in installments rather than all at once."
601,b,5,Pass,Male,0,"		i didn't want to take frpm the person because that would creat an emey. it is like stealing from a friend"
183,b,5,Pass,Male,0,"		I found this to be strange and short.. it kinda reminds me of how we treat people in the real world. We can either be nice and share, or we can be selfish and keep everything for ourselves."
1059,b,5,Pass,Female,1,"		I guess of a situation where you make a guess as to if your counterpart is willing to give you something without expecting anything in return."
221,b,5,Pass,Male,0,"		I'd say it follows the saying treat people the way you wish to be treated. i gave them 10 back because i assumed theyd do the same."
218,a,1,Pass,Male,0,"		It reminds me of a situation with friends.  Friends always ask to borrow money and you never know if they will give it back or not.  It's always a risk and you make a judgment call.  I made a judgme"
175,a,1,Pass,Male,0,"		It reminds me of having faith in the other person to do what is right so both people can benefit and also to share and not be greedy"
114,a,1,Pass,Female,1,"		it reminds me of situation i go through everyday when lending my roomate money. i never know whether or not i will get the money back or he will keep it."
459,b,5,Pass,Female,1,"		It reminds me of situations where people help out one another.  She deserved to be paid back in some form."
412,b,5,Pass,Male,0,"		It seemed like a test of honesty and ethics. I had to make a choice of being too greedy, too nice, or fair."
1561,a,2,Hold,Male,0,"		loaning money to a stranger is definitely a gamble and a risk"
2550,b,3,Pass,Female,1,"		one where I am trying to be fair to another person or group of people in handing out opportunities or resources"
1554,b,99,Pass,Female,1,"		Sure, there's lots of times this reminds me of.  However, if the other person knew the benefit of both of us, and knew i was going to be fair, then he probably would have loaned it.  Moreover  if so"
526,a,1,Hold,Female,1,"		The person face appreance is very import to me beace, I can predict whether the person trustworthy or not. THe problem reminds me of a stranger asking a loan from me. And I decide wheter loan or not"
501,a,2,Hold,Male,0,"		The prisoners dilemma"
1580,b,7,Pass,Male,0,"		This experience is interesting.People show trustness to each other. I am happy with the result."
2521,b,99,Pass,Male,0,"		this seems like a cooperation or probability expt."
652,b,3,Pass,Male,0,"		Trading online where u cant really jusdge the item u are bying physically.Ever"
153,b,5,Pass,Female,1,"		Trust and negotiation"
119,b,5,Pass,Male,0,"	I didn't like that last choice it didn't feel right"
185,a,1,Pass,Female,1,"	I I FIRGURE IF SOMEONE NEEDS THE MONEY MORE THAN ME THAN I AM GOING TO LOAN THEM THE MONEY.  WHAT IS IN 10 DOLLARS.  I BELIEVE IN KARMA, WHAT GOES AROUND COMES AROUND. SO THEREFORE DOING A GOOD DEED"
3528,b,99,Pass,Female,1,"	I think that this is definitely a problem in which you are analyzing risks due to the nature of the questions we answered in the questionairre.  It reminds me of the old game shows where they would g"
2565,a,1,Pass,Male,0,"	I thought that i should lend the money as she had similar intrests.	"
405,b,4,Pass,Male,0,"	I thought the decision problem was good. I think some will keep all the money. This problem reminded me of a selfish person making a choice.	"
542,a,1,Pass,Male,0,"	I was just hopying that the other part was nice. When I receive money I always like to return it. So I was hopying the same for the other party 	"
109,a,2,Hold,Female,1,"	It reminds me of making a decision of whether or not to loan money to a friend.  How much I get back may not be the amount that I loaned.	"
179,b,5,Pass,Female,1,"	It reminds me of monopoly.  Where you are considering trading a piece of property with someone else.	"
2568,a,2,Hold,Female,1,"It seems risky to lend the money because the counterpart might be tempted to keep all or most of the money.	"
2562,a,2,Hold,Male,0,"	it was a daring situation where you had to trust your instincts and thoughts.	"
3520,a,1,Pass,Female,1,"Its not really like any situation I've ever been in.  I guess its kind of like the stock market, in that you have to take a risk and could come out a head or behind.	"
2541,a,2,Hold,Female,1,"Loans,friends, and whether they will pay you back	"
452,a,1,Pass,Male,0,"	The decision problem is a question of trust and of ethics.  On the one hand , you must trust your partner to do the best option for both of you, and then your partner must also do the ""right thing"" a"
1569,b,1,Hold,Male,0,"	there were so many of them i do not know are remember which one i could chose from	"
1041,b,5,Pass,Female,1,"This kind of situation reminds me of investing money in the stock market.  You need to think about the effects of your decision before you go about investing money in something that you are not sure"
1090,a,2,Hold,Male,0,"	This reminds me of a situation where I would actually loan someone money or something else of value to me.  There is a risk involved about getting the money returned to you.	"
1512,a,1,Pass,Male,0,"	This reminds me of betting on something, risking and woundering what was going to happen.	"
624,b,9,Pass,Male,0,"	This situation reminded me of the prison situation example we went through in microeconomics class last semester.	"
1556,b,99,Pass,Male,0,"	This situation reminds me of game theory.  Although we could have doubled the money, my partner did what he/she thought was best for him/her.	"
151,b,5,Pass,Male,0,"	This situation reminds me of letting someone borrow something and taking the chance of not getting it back in return or settling for something less. 	"
3546,b,5,Pass,Male,0,"	Well it is funny cause we are supposed to trust someone we know very little about that they will make a choice we will like. It reminds me of trusting with hope that you are making the right decision"
225,a,2,Hold,Male,0,"	Well, I had to loan money to the person I don't know and that's risky.	"
521,b,5,Pass,Female,1,"	Well, if you are doing business every partner shall receive same amount, provided each party does the same job... That's my perspective in doing businesses.	"
131,a,1,Pass,Male,0,"	When you put your complete trust into someone and they let you down or they take advantage of you.	"
641,a,2,Hold,Male,0,"   This situation reminds me of a person who wants me to give him money for some investment and promise me to double the money I give him. In reallity, he is going to take all the money and run away"
133,a,1,Pass,Male,0,"  This reminds me of lending money to a close friend who takes advantage of you when you have money, and he doesn't but you expect him to pay you back.  Sometimes people trust other people too much.		"
1122,a,1,Pass,Female,1," I didn't really like the problem because it seemed to rely on chance and randomness. This reminds me of a situation called the prisoner's dillema that I learned about in a Poli Sci class.	"
1024,a,1,Pass,Male,0,&*
2525,a,2,Hold,Female,1,"a bank and a person who wants a loan"
622,b,99,Pass,Female,1,"A complete stranger asking for money."
1023,b,5,Pass,Male,0,"A computer science experiment in which programs competed for the highest score in a series of exchanges. 		"
403,a,1,Pass,Female,1,"A single session, non-communicative Prisoner's Dilema with alternative options.  The penalties for chosing right are greater, while the penalties for chosing wrong are slightly larger.		"
182,a,1,Pass,Male,0,"a situation involving a family memeber gborrowing mondney and promising to pay interest and not doing it		"
2570,a,1,Pass,Male,0,"A situation where you must guess what trends are about to happen, like in the business world.		"
1082,b,5,Pass,Male,0,"An immediate loan that I would pay back as soon as possible.  I knew I could get the money, but didn't have it.  Borrow from a friend and pay them back		"
1534,b,1,Hold,Female,1,"an internet con. I answered truthfully, but that's not the point. I could have lied and no one would know. I suppose I violated this person's trust, but what did they know about me? Perhaps they got t"
2544,a,2,Hold,Female,1,"As taught in most economics classes, I believe that people are selfish and rational.  If I did loan $10 to the other person then I was taking a huge risk.  If my counterpart decided to keep the entire"
310,a,1,Pass,Male,0,Asking for a favor and  returning it fairly
1061,b,5,Pass,Male,0,"At first I wanted to keep the 20 dollars for myself, but I ended up decided to keep only 10 dollars since I would not have earned the ten dollars if she had not loaded it to me.  I'm not too sure what"
161,b,2,Pass,Female,1,Because he thinks it he is better off getting 2.50 instead off 0 he will accept my offer of me getting 17.50 and he just 2.50. A situation that I'm mostly in control
1508,b,5,Pass,Female,1,"Being fair. Do unto others as you would expect them to do unto you."
3533,a,1,Pass,Male,0,"borrowing money from a bank"
1117,a,1,Pass,Female,1,"Buying dinner at a fast food restaurant	"
1558,a,1,Pass,Female,1,"Choosing to support some new organization or business.  I guess it's an investment."
128,b,1,Hold,Male,0,"Dealing with roommates"
1583,a,1,Pass,Male,0,"Deciding whether or not to trust someone.		"
1520,b,6,Pass,Male,0,"Dividing teams up for sports or any other activity in which fairness and impartiality is required, but the divider is still making his own team."
1074,a,1,Pass,Female,1,"Dividing up a budget for any event. Deciding what to do with money given as a present or unexpected within a family. Mostly planning with bad communication."
2526,b,1,Hold,Male,0,"Economics Game Theory"
309,b,4,Pass,Male,0,"Finders keepers. But I decided to be nice and give a little to the other party.		"
3534,a,1,Pass,Male,0,"First of all, I had made up my mind to loan the money right away, but then I had second thoughts when I learned it was a male on the other end, and then I felt bad about thinking twice soley based on"
2547,b,3,Pass,Male,0,"Frankly, it reminds me of a situation in which I only have a hint of what's even going on!  I guess this problem makes me think of situations in which a person wants to maximize the benefit to themsel"
1045,a,1,Pass,Male,0,"Gambling"
2529,a,1,Pass,Male,0,"Gambling.		"
3551,a,2,Hold,Male,0,"gambling.  It involved trusting people to some extent but I couldn't even ask the person to please give me half the money.  I assumed she was a broke college student like me and would be heartless.  	"
1073,a,1,Pass,Male,0,"Game theory from econ 211. Two prisoners are separated and asked to rat out the other to lower their own sentence.
1505,b,5,Pass,Male,0,"getting a bank loan."
2535,a,2,Hold,Male,0,having friends of friends ask you for money that you are not sure are trust worthy.
541,a,1,Pass,Male,0,"He/She his/her $10 and I got mine. Win/win stuation.		"
3554,a,1,Pass,Male,0,"Hmm...maybe a bank loan or something? It's a gamble on whether you'll get it back or not. It's okay though, I'm not religious but I do believe what goes around comes around and such. Whoever kept my m"
1578,b,3,Pass,Female,1,"Honestly, I wasn't quite sure how my decision affected the money I made. I assumed that I had to weigh how much he would be likely to give and try to maximize what I kept in comparison to what he gave"
2577,b,5,Pass,Male,0,"i chose this answer because i thought it was fair, it reminds me of some formula we learned in econ class about criminals in jail"
135,b,5,Pass,Male,0,"I don't know really.  I just gave my counterpart the same amount as myself because he was nice enough in the beginning to give me a loan.		"
1052,b,1,Hold,Male,0,"I don't know what it reminds me of, but I made the decision based on what situation was in my best interest. 		"
312,a,2,Hold,Female,1,"I don't like to gamble with my money, especially when I'm counting quarters to buy a drink at 7-11. Although I might have ended up with more money than this if I had loaned some to the other person, I"
401,b,3,Pass,Female,1,"I don't quite understand what the point of it was, but it seemed interesting.  It reminded me of situations involving my friends and the sometimes stingy flow of money between us."
1581,b,99,Pass,Male,0,I don't think it reminds me of any particular situation."
120,a,1,Pass,Male,0,"i dont know what kind of situtation this reminds me of cause ive never lent money to anyone online and then rely on his kindness to return it.
1504,a,1,Pass,Female,1,"I figured that if I lent the money most probably I would not be repaid, but if that was the case then, if there was a 'next time' I would not lend money to the person again.  It reminds me of when peo"
1560,b,5,Pass,Male,0,"I guess I didn't like not knowing anything about the other person or what their thought process would be...		"
1077,a,1,Pass,Female,1,"I guess it reminds me of an investment in a company.		"
3567,b,3,Pass,Female,1,I guess this kind of reminds me of giving gifts.  It's a guessing game of what you're going to get and what you should put into what you give.
1126,a,1,Pass,Male,0,"I had to risk loosing everything but because I did not want to believe that my counterpart was a mean person, I went ahead and loaned him the money hoping that we would end up with equal amounts of mo"
160,b,5,Pass,Male,0,"Ihonestly can't think of a situation that this problem reminds me of.
611,a,1,Pass,Male,0,"I made a profit for someone for free. I got all my money back and it only took a split second.
3568,b,6,Pass,Female,1,"I needed to borrow some money and he loaned it to me, so I more than repayed him to thank him for lending me the money.	"
609,a,2,Hold,Male,0,"I participated in a similar situation in highschool.  If everyone in the group would have cooperated, then everyone would have been better off.  Instead, everyone tried to do what they thought would g"
603,b,3,Pass,Male,0,"I realized that my partner took a risk in lending me money, but economically we will both come out ahead by the same amount if he chooses the same option that I did."
2528,b,1,Hold,Male,0,I really don't know.  Maybe when a friend needs a loan and can't afford to pay the other person back or really needs the money.
2542,b,3,Pass,Female,1,"I really have no idea, maybe an internet scam"
510,b,3,Pass,Male,0,"I remember the previous experiment in which we pocketed and left in envelope certain amount of money.	"
1056,b,1,Hold,Male,0,"I reminds me of borrowing money from my parents and then never paying them back. It is not a bad situation to be in.
1095,a,1,Pass,Female,1,"I suppose this reminds me of situations in which trust is required for mutual benefits, such as in trade etc.  My decision to choose option 5 rested on the fact that the other would reciprocate my dec"
1028,a,1,Pass,Male,0,"I think it basically says to take advantage of a situation when you have the opportunity.  "
1109,a,1,Pass,Female,1,"I think that the situation was a very risky one in that I had to hope that my counterpart would choose the more fair answer over the more selfish answer. It reminds me of the general situation in whic
302,b,4,Pass,Female,1,"I thought it was a difficult decision to make, I wanted money but I didn't want to take everything from my partner though it would have been nice.		"
1089,a,1,Pass,Male,0,"I thought it was pretty fair.  It seemed like a pretty difficult question because if my counterpoint had been self-serving I could have ended up with nothing but then I had already shown some faith by
1568,b,99,Pass,Male,0,"I thought that by loaning me the 10 dollars, with 20 dollars, I would have the possibility of making more money for the both of us than if we had 10 dollars each."
1551,b,6,Pass,Female,1,"I thought that if I give them some, maybe even more of my money, then they will be more willing to share what they have as well.  So that we could possibly, together, earn more money.		"
614,b,3,Pass,Male,0,I thought that it was rather interesting. You ask someone for a loan and then you decide whether or not to give all or none of it back. This problem reminds me of a situation when you are robbing or c
132,b,5,Pass,Male,0,"I took the loan from the standpoint that a friend let me borrow ten bucks, and so I paid her back when I could.		"
3548,b,99,Pass,Female,1,"I was asked to determine whether a person would be nice enough to loan me money based on a few details, I guess it reminds me of normal situations when i am in need of money but i would not usually as"
1567,a,1,Pass,Female,1,"I was surprised that my counterpart went with option 4.  If they were going to keep my money, they should have gone for broke and kept all of it.  By loaning the money I was trying to keep things even"
163,a,1,Pass,Female,1,I was trusting of someone I didn't know and he screwed me over by not being as generous as I was.  I had a feeling he would keep more money  but I though he would be a little generous and give me some
1084,b,99,Pass,Male,0,"I was trying to convince someone to do something, but I couldn't talk to them and explain why.		"
615,a,1,Pass,Female,1,"I would say it reminds me of the uncertainty of lending people money ... that there usually has to be trust involved that they will make fair decisions concerning others.		"
610,b,5,Pass,Female,1,"I'm confused as to why the loan was doubled.		"
122,a,1,Pass,Female,1,"I'm not sure what this reminds me of, but I thought the other person would want to split the money and be nice because that is what I would have done"
3525,a,1,Pass,Male,0,"I'm reminded of situations in which I'm low in cash and my friends loan me money. Back in high school, people often asked for loans during lunch. Oftentimes, they were not close friends, yet I still l"
