StartDate,EndDate,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,batch,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,id,comp1g1 ,comp2g1,Action1rA ,Action1rB,treatment,role,action,comp1g1BZ ,comp2g1BZ,ActionABZ,ActionBBZ,comp1EW ,comp2EW,EWg1actionA,EWg1actionB ,Advice1,About,Dnorm1,Dnorm2,Snorm1 ,Snorm2,Lotteries,education ,hamlet,politics_1,Submission id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
9/20/23 13:32,9/20/23 13:37,41.216.203.171,100,320,TRUE,9/20/23 13:37,R_2DZExBZwS0FO6bH,1,-33.91,18.4304,EN,0.899999976,6011d2b8b124c219f57c707e,,,,,bz,b,Pass,10 tokens,12 tokens,,Pass,,,,,"My advice is to keep passing until the amount grows enough and then hold. Either way, you'll be getting a big payout if the other person holds or passes.","It somewhat reminds me of working where the effort the boss gives is passed to the worker who also puts in effort. If the boss holds the profit, they benefit but if they pass and use it for the worker and business, it grows.",Hold,Pass,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens","Four-year degree (Bachelor's, etc.)",7000000,43,650b3ab519897ff8c4a75ac9,APPROVED,2023-09-20T18:32:26.541000Z,2023-09-20T18:38:03.778000Z,2023-09-20T19:36:47.407000,2023-09-20T18:38:04.430121Z,338,C18UP4AJ,365,25,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
9/20/23 13:30,9/20/23 13:38,185.136.95.146,100,442,TRUE,9/20/23 13:38,R_1OOKBT0QgEJpAqu,1,50.3265,19.1366,EN,1,60844b4224eaa2f2c5857460,,,,,bz,b,Hold,10 tokens,15 tokens,,Hold,,,,,Pass all the time and we will both have a lot of tokens. We'll be so wealthy :),Maybe getting to know some critical information. If you hold it by yourself you will get huge advantage ,Pass,Hold,Pass,Pass,"Gamble 3 Event A, Payoff: 26 tokens ; Event B, Payoff: 2 tokens",Some college,7000000,55,650b3a608d5661fe48080b59,APPROVED,2023-09-20T18:30:56.374000Z,2023-09-20T18:38:44.411000Z,2023-09-20T19:36:35.083000,2023-09-20T18:38:44.926075Z,469,C18UP4AJ,245,22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Other
9/20/23 13:31,9/20/23 13:38,187.202.15.35,100,413,TRUE,9/20/23 13:38,R_1o7o99W97bOhZxI,1,19.3946,-99.1178,EN,1,614b6e4a03ded5acfe2ef9b0,,,,,bz,b,Hold,10 tokens,15 tokens,,Hold,,,,,"It is thoughful that you always pass some of the tokens, this is because if both persons pass the tokens you get more tokens than when you started so It will always be a win win, it's a moralty issue","Daily decisions can be based on this, one example could be when you get out with a friend to eat something, if you pay one day the other person might pay another day so It is a win win",Pass,Pass,Pass,Pass,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",Some college,8000000,50,650b3a82466c170748c24707,APPROVED,2023-09-20T18:31:30.207000Z,2023-09-20T18:38:46.052000Z,2023-09-20T19:36:36.329000,2023-09-20T18:38:46.775075Z,436,C18UP4AJ,267,23,Male,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
9/20/23 13:31,9/20/23 13:39,71.86.102.46,100,475,TRUE,9/20/23 13:39,R_3k6cKvbkrU6o5BQ,1,33.0787,-83.2376,EN,1,60ff4c6536890252c799b3f9,,,,,bz,b,Hold,10 tokens,15 tokens,,Hold,,,,,"In order to gain the most tokens, be mindful as to how the other player may react. Take the opportunity to hold as many tokens as you can if you are player B. Read the directions very carefully ",This game was an example of how to anticipate reactions from others and how to respond. Life is calculated and our responses have major effect on everyone around us,Pass,Hold,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens","Four-year degree (Bachelor's, etc.)",50000,100,650b3a7f68e51f76842f42ec,APPROVED,2023-09-20T18:31:31.034000Z,2023-09-20T18:39:36.826000Z,2023-09-20T19:36:45.821000,2023-09-20T18:39:37.419934Z,486,C18UP4AJ,375,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
9/20/23 13:31,9/20/23 13:39,143.159.233.93,100,451,TRUE,9/20/23 13:39,R_vIAvqBZ8hKTorRf,1,52.7212,-2.7456,EN,0.899999976,5c49c6afa9ef840001b9e7dd,,,,,bz,b,Hold,0 tokens,15 tokens,,Hold,,,,,I think the best way to play is to use your intuition. Then as the game goes on see if there is a pattern. If there is chose the one that seems to be most successful. ,I think that the interaction is meant to mirror whether when given money the people would share or not. ,Hold,Hold,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens","2-year degree (Associate's, etc.)",60000,84,650b3a977b76202f939f98b4,APPROVED,2023-09-20T18:31:56.272000Z,2023-09-20T18:43:38.388000Z,2023-09-20T19:36:46.268000,2023-09-20T18:43:38.952843Z,703,C18UP4AJ,78,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
9/20/23 13:32,9/20/23 13:39,155.93.135.139,100,403,TRUE,9/20/23 13:39,R_sHZQ5FQznLlNi4p,1,-26.3811,27.8376,EN,0.400000006,6152f8ecefde7f8298316ee6,,,,,bz,b,Pass,10 tokens,15 tokens,,Pass,,,,,choose a decision that will gurantee some reward. Inticipate what the other person will do. Trust my instincts,"choosing a walking route, gambling thoghts. How decisions are made and risk assessement",Pass,Hold,Pass,Pass,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",Some college,2000000,8,650b3ac54072ec54cc5da131,APPROVED,2023-09-20T18:32:37.891000Z,2023-09-20T18:39:48.094000Z,2023-09-20T19:36:37.588000,2023-09-20T18:39:48.971921Z,431,C18UP4AJ,287,21,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Part-Time
9/20/23 13:34,9/20/23 13:39,189.203.103.46,100,297,TRUE,9/20/23 13:39,R_3ijXjS4oPYUb2Df,1,20.7495,-103.4651,EN,0.899999976,5f4bf4536b68b57e64ad4f2d,,,,,bz,a,Hold,10 tokens,15 tokens,Hold,,,,,,I think you should play it however you see fit to maximize the amount of tokens you can earn. I pleayed the way I did because I didn't trust the other counterpart to play to maximize both our tokens.,"Maybe it is trying to capture a cooperation scenario, In my experience, people tend to approach collaboration either as a competition or as a good faith collaboration, but a lot are too selfish to try a true cooperation.",Hold,Pass,none,Pass,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens","Four-year degree (Bachelor's, etc.)",150000,100,650b3b4461fac90282b55561,APPROVED,2023-09-20T18:34:44.845000Z,2023-09-20T18:39:54.984000Z,2023-09-20T19:36:41.219000,2023-09-20T18:39:55.459763Z,311,C18UP4AJ,366,37,Male,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time
9/20/23 13:33,9/20/23 13:39,85.246.194.38,100,355,TRUE,9/20/23 13:39,R_2aWxBtsmwE2cRCp,1,38.731,-9.1373,EN,0.899999976,5bff292bfcedcf000109470e,,,,,ew,a,Hold,,,,,0 tokens,15 tokens,Hold,,in my opinion the best way to win is to hold and wait for the other player not to hold. this way you don't give your tokens and basically bet on him splitting his tokens.,it is trying to capture greed when it comes to giving? so as to you not expect being rewarded when being nice to others,Hold,Pass,Hold,Pass,"Gamble 4: Event A, Payoff: 34 tokens; Event B, Payoff: -2 tokens",Some college,5000,75,650b3ae3017d1cd38766d7a9,APPROVED,2023-09-20T18:33:07.249000Z,2023-09-20T18:39:19.544000Z,2023-09-20T19:36:38.090000,2023-09-20T18:39:20.085053Z,373,C18UP4AJ,102,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
9/20/23 13:32,9/20/23 13:39,92.29.196.195,100,408,TRUE,9/20/23 13:39,R_2YXQdL71Ooz18Tl,1,53.4113,-2.9759,EN,1,63e538e14e8b1ae8b460d8bf,,,,,ew,a,Pass,,,,,5 tokens,20 tokens,Pass,,Donât forget thereâs an element of risk involved and ensure that you are not at risk of losing everything. Pay attention to your surroundings and take in as much information as you possibly can in order to make an informed decision. Understand any tips youâre given and always remember to gamble responsibly.,"Everyday life is a gamble, have you made the right choices? Have you turned the right way to avoid traffic? Did you treat someone like you should have done? I feel like it is trying to capture an understanding of how risk averse we are. Will most people choose to hold or will most choose to risk and give them away? It is kind of like society as a whole, generally someone with less will give more and someone wilth more is more likely to hoard their gains.",Hold,Pass,Pass,Pass,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",High school,"500,000",100,650b3ad2e4f81750e3d76ddf,APPROVED,2023-09-20T18:32:53.905000Z,2023-09-20T18:40:07.073000Z,2023-09-20T19:36:37.936000,2023-09-20T18:40:07.824451Z,434,C18UP4AJ,86,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
9/20/23 13:33,9/20/23 13:39,84.205.172.36,100,344,TRUE,9/20/23 13:39,R_2Bkt2txy2BCqkuL,1,50.3491,19.253,EN,1,611bb577934acb758f163193,,,,,ew,a,Pass,,,,,5 tokens,15 tokens,Pass,,I think the best course of action is to always loan. By working together you might both acquire more tokens than holding to them. For example by holding the tokens there might be a situation when you as a person A won't receive any. Trust the other person that they will also loan/return and cooperate.,It is about cooperation towards same goal. By working together and not trying to hold onto all the gains you may acquire more.,Pass,Hold,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",High school,"300,000",100,650b3b03e4f81750e3d76dec,APPROVED,2023-09-20T18:33:39.916000Z,2023-09-20T18:39:43.101000Z,2023-09-20T19:36:48.924000,2023-09-20T18:39:43.620509Z,364,C18UP4AJ,316,20,Female,White,Poland,Poland,Poland,Polish,Yes,Other
9/20/23 13:31,9/20/23 13:40,2.100.127.105,100,534,TRUE,9/20/23 13:40,R_10vYAVnc2MhcI1C,1,51.434,0.3486,EN,1,5e8c7e3a7160ee0008d4e874,0 tokens,15 tokens,,Pass,k,b,Pass,,,,,,,,,Play based on your intuition and bear in mind that if both counterparts pass you will both receive a reasonable amount of tokens.,It reminds me of give and take and that lots of things are not equal and lots of people are mostly concerned about themselves.,Hold,Pass,none,Pass,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens","Four-year degree (Bachelor's, etc.)","225,000",93,650b3a9caa49d7ae0d72b872,APPROVED,2023-09-20T18:31:56.854000Z,2023-09-20T18:41:20.898000Z,2023-09-20T19:36:46.616000,2023-09-20T18:41:21.349176Z,565,C18UP4AJ,533,31,Female,Mixed,DATA_EXPIRED,United Kingdom,United Kingdom,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
9/20/23 13:31,9/20/23 13:40,189.174.147.152,100,507,TRUE,9/20/23 13:40,R_zSEOco3YttvcrIZ,1,20.6243,-87.077,EN,1,615f316da40e7564fd9c1856,0 tokens,15 tokens,Pass,,k,a,Pass,,,,,,,,,"I recommend that player A pass and player B don't hold so they can both get 15. If player A holds, B is not going to win. If A decides to pass for the good of both, and B betrays them, B will get an amount but A won't.","I cannot think of a specific example that is the same as the game but it is related to taking actions and see how egocentric people is, your action will be repercuting the gains of the other one so you will decide if it's better to share and both have a beneefit or just keep it all for your own, knowing that the other one will get nothing in return. ",Hold,Hold,Pass,Pass,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens","Four-year degree (Bachelor's, etc.)","800,000",81,650b3a8837962953bcfd7699,APPROVED,2023-09-20T18:31:36.432000Z,2023-09-20T18:40:16.724000Z,2023-09-20T19:36:46.120000,2023-09-20T18:40:17.249329Z,521,C18UP4AJ,267,26,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
9/20/23 13:31,9/20/23 13:40,94.154.23.31,100,525,TRUE,9/20/23 13:40,R_1mDcyXLKY6xMYRG,1,50.045,21.3996,EN,0.899999976,604a724676cc5a0de7e93fd1,,,,,ew,a,Hold,,,,,5 tokens,15 tokens,Hold,,The advice I would give would be to be reasonable. You can't put all of your fruits in one basket - sometimes you need to hold and sometimes you need to loan. It's best to sometimes choose the safe option and other times the risky one.,I think it reminds me of daily challenges where you need to choose either the safe or the risky option. For example you could save some of your money in cash someewhere in your home and theoretically (not including inflation) you would have the same amount of money in a year. But you could invest your money somewhere and hope for its' growth.,Hold,Hold,none,none,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",High school,30000,56,650b3a9a14a87b45296765db,APPROVED,2023-09-20T18:31:54.631000Z,2023-09-20T18:40:47.200000Z,2023-09-20T19:36:37.159000,2023-09-20T18:40:47.689519Z,533,C18UP4AJ,310,22,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
9/20/23 13:32,9/20/23 13:40,200.23.42.24,100,489,TRUE,9/20/23 13:40,R_1QsZxlRWwFd8o3S,1,25.6554,-100.3258,ES-ES,0.899999976,613f8b830830d428fc93696d,,,,,ew,a,Hold,,,,,5 tokens,20 tokens,Hold,,"My advice is to keep the chips so that both players end up with the same number of chips and it can be a balanced game between both, or the other option is to pass and at some point, hold, and let both players share the same number of chips between them.","It reminds me of a game of probability or betting where you decide whether to hold or bet, but there's a chance that if you bet, you either win more or win nothing.",Hold,Pass,Hold,Pass,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens","Four-year degree (Bachelor's, etc.)",1000000,50,650b3aab2b86f9844c1abac1,APPROVED,2023-09-20T18:32:21.454000Z,2023-09-20T18:40:55.771000Z,2023-09-20T19:36:47.252000,2023-09-20T18:40:56.476401Z,515,C18UP4AJ,74,23,Female,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
9/20/23 13:32,9/20/23 13:40,37.160.90.87,100,506,TRUE,9/20/23 13:40,R_xnkuTD8lhb65N4J,1,43.1479,12.1097,EN,1,5fb79d0f2be0a8333b5de42f,,,,,ew,a,Hold,,,,,5 tokens,15 tokens,Hold,,"I think that in a case like this study it's always bast to go all in and try to get the most out of the game. In my opinion, the monetart compensation is small enough that risking it is almost always worth it. Of course you can't know what your counterpart will do but the loss is minial einogh that I think it's worth it to try and pass the tokens in the hope they grow. ","This interaction reminds me of the many chances I have to take in mu day to day life. Choosing to trust anothee to have the best interest of all parties in mind can be frightening but, in my opinion, taking these kind of risks can often be very rewarding. I think the researchers are trying to see how many people will choose a sure but worse outcome insted of trusting a stranger in the hope of a better one. ",Hold,Hold,none,Pass,"Gamble 3 Event A, Payoff: 26 tokens ; Event B, Payoff: 2 tokens",Some college,30000,93,650b3aa0aaa2b9ca2c18fc2f,APPROVED,2023-09-20T18:32:04.607000Z,2023-09-20T18:40:57.135000Z,2023-09-20T19:36:46.766000,2023-09-20T18:40:57.569112Z,533,C18UP4AJ,322,24,Female,White,Italy,Italy,Italy,Italian,Yes,Other
9/20/23 13:33,9/20/23 13:41,83.235.111.221,100,460,TRUE,9/20/23 13:41,R_3oLSEiNw2q2uC4z,1,38.0459,23.7968,EN,1,6091d92d49af9298af3007d5,,,,,bz,b,Pass,10 tokens,15 tokens,,Pass,,,,,"Supposing you are assigned role A By holding it is certain you will get a decent payoff (10 tokens). By passing you are giving your counterpart the chance to increase this payoff by 5, or reduce it by 2. In my opinion it is worth it to risk losing 2 tokens to gain 5 more.","It is trying to capture the way people interact and gain/lose according to other people's actions. Sometimes it is worth ""taking over"" (holding in this case) and minimizing risk. Other times you feel that it is ok to take the risk and rely on someone else, hoping the end result will be better for both of you.",Hold,Hold,Pass,Pass,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",Some college,30000,55,650b3b033b21f0c69fbf8288,APPROVED,2023-09-20T18:33:39.232000Z,2023-09-20T18:41:49.596000Z,2023-09-20T19:36:38.979000,2023-09-20T18:41:50.152397Z,491,C18UP4AJ,133,21,Male,White,Greece,Greece,Greece,Greek,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
9/20/23 13:31,9/20/23 13:41,89.64.31.152,100,593,TRUE,9/20/23 13:41,R_1guA2aDe26y2xLH,1,54.353,18.659,EN,1,5fa321208a60a85f00af2d96,,,,,bz,a,Pass,10 tokens,15 tokens,Pass,,,,,,"If both players choose pass, their payout is increased. If the first player chooses A, he takes all his tokens and the game ends. If player A chooses pass and player B chooses hold, player B gains more tokens than player A. At least the two of them choose the pass option so that the players gain",It reminds me of situations from everyday life and reading what intentions other people may have towards you,Pass,Pass,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens","2-year degree (Associate's, etc.)",42000,40,650b3a7f8d5661fe48080b61,APPROVED,2023-09-20T18:31:27.111000Z,2023-09-20T18:41:26.979000Z,2023-09-20T19:36:36.175000,2023-09-20T18:41:28.451265Z,600,C18UP4AJ,147,27,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
