Sex,role,dataset,acton,About
Female,b,BCG,Hold,"I really have no idea, however it could be that it is good to interact with others at times. Then , there are other times that one just need to pause (hold)and take a breather. I think this is where you gain the most. Once done you can return to interacting with others."
Female,a,BCG,Pass,it reminds me of choosing what action would profit best for an individual or is it better to redistribute profits among both individuals
Female,b,BCG,Hold,It reminds me that it is very important to work well with others and to not be selfish. Always think about how the other person will be affected in what you do but also remember to focus on yourself too.
Female,b,BCG,Pass,"It reminds me of normal financial investments, stocks, mutual funds, in which each of us gives an amount to a company and gets an interest. the rules of this interaction are complex, for both parties to earn the maximum it is necessary for each party to give money to the other, first lends it, the second returns it."
Male,a,BCG,Hold,"Honestly doesn't remind me of any similar situation i could experience in my daily life, i assume this is a psychological study about trust and social behaviours, but i honestly don't know what is trying to capture exactly."
Male,b,BCG,Hold,"I believe it's about the roles we take on at home, in school, or in the office when working as a team and engaging in collaborative activities that require equal effort from all team members."
Female,b,BCG,Hold,"Chess, and when tackling problem solving or trying to build something from scratch with given instructions and a lot of tools and parts to assemble "
Female,b,BCG,Hold,It reminded me of most decisions I make daily. I like to be thorough and plan things out.
Female,b,BCG,Pass,Investing in any economic field is like deciding whether it's a good idea to start a particular business or make a specific purchase. It involves evaluating the potential future benefits that it can bring you. Making informed investment decisions often requires careful analysis and consideration of various factors to assess the potential return on investment.
Male,b,BCG,Pass,I think it's quite hard to understand and requires a lot of brain power. You have to think of all the outcomes for if you are assigned A and the decisions you make will change if you are B. I donât have a clue what it is trying to capture unfortunately sorry. 
Female,b,BCG,Hold,"It's similar to when you receive a payment and have to use that money to buy a gift for a friend. In both situations, you need to make decisions about how to use your resources to maximize the benefit or satisfaction for both parties involved."
Female,b,BCG,Pass,"The human mind has to comprehend and make many many decisions in a single day. This reminds one to not overthink, go with your gut feeling and choose what will bring about goodness."
Male,a,BCG,Pass,"I believe this interaction is an exercise in collaboration, which often occurs in negotiations. Ideally, both participants should collaborate to ensure that everyone receives benefits. Cooperation and working together can lead to more favorable outcomes for all parties involved."
Male,a,BCG,Pass,I think that it is a good way to think in the future of my investments and another things related to money
Male,b,BCG,Pass,This interaction reminds me of a negotiation in wich i don't know what the other part will do or what should be my next step
Female,a,BCG,Pass,"Sometimes there are opportunities that could help not only yourself, but also a friend or stranger. It is easy to want all the benefit for yourself, but better to share"
Female,b,BCG,Hold,How we make decisions. Based on situations given we need t decide what is best for us 
Male,a,BCG,Hold,I think this game is when you are sat at home overthinking and trying to guess what others are going to do 
Male,a,BCG,Pass,"Honestly, it doesn't remind me of anything in my daily life. It reminds me of gambling games, but not of my daily life."
Female,b,BCG,Pass,This interaction reminds of saving money. I think it is trying to capture the act of saving money in a bank account...
Female,a,BCG,Pass,It reminds me we have to have faith in things and trust everything will workout for us
Female,a,BCG,Hold,It's important that you hold and trying to think a bit about your problems and how you can try to fix them before you can rush to conclusions or doing stupid things that may affect you afterwards.
Female,b,BCG,Hold,It seemed to me that this game is similar to gambling or trading relations between people.  The goal here is to earn more winnings than your partner.
Male,b,BCG,Hold,"It doesn't remind me of a daily life situation. I think it is trying to capture human's limit to trust, as you very often give something of yours on stakes of another person and the pay-off depends solely on their decision. This mistrust makes you earn more, as you choose safer option rather than riskier, more profitable one"
Female,b,BCG,Pass,"Hmm... I'm always thinking to myself, that this is how life looks. From my own experience and from what I've seen around me sometimes when you gain more, other people don't gain anything and sometimes we just all live day by day equally getting somethin, but never ever more than that."
Male,a,BCG,Hold,"IN many cases in real life its best to keep what you have instead of risking everything, "
Female,a,BCG,Hold,"It reminds me of teamwork, trusting one's instincts, as well as the importance of paying attention to whatever task you're doing. "
Female,a,BCG,Pass,i didn't do much but it sounds like how investment plans work and how risky they are
Male,b,BCG,Hold,"I saw this game primarily as a resemblance of a game of poker. However, it could resemble some other, more daily life situations in which you are required yo to take risks."
Female,a,BCG,Pass,It is like getting into a negotiations with people with completely different plans about spending time on vacation 
Female,a,BCG,Pass,This interaction reminds me of how we should all be more thoughtful of each other and help each other.
Male,b,BCG,Pass,"I can't recall anything in my daily life that would circle back to this problem, however I do think the point of this problem falls on someones greed. Greed is gonna be the main way both players come out losing "
Female,b,BCG,Pass,Its about how some people tryst that everyone is consoderate of the other person and not selfish
Male,a,BCG,Pass,I think that is is trying to capture the willingsness for taking the risk. You have to count on random person to make descision not knowing who he is or what are his motivations. The most moral option is for both players to pass is that way you both get reward
Female,a,BCG,Pass,"Trust is essential to gain more, cooperation is always important, in a group project one could steal all the credit for a team effort but then no one will work with them anymore"
Male,a,BCG,Pass,"I honestly have no idea what this is trying to capture, and in my daily life I don't normally think about loaning anything with the intent to get back more of if. "
Female,b,BCG,Pass,I do not know what this interaction is trying to capture. It does not remind me of anything from my daily life. I found the description to be quite confusing. 
Male,b,BCG,Pass,it reminds me of hard decisions that i have to mae without knowing what the outcome will be 
Female,a,BCG,Pass,I think this interaction is making us think about everyday situations in which we have to share something with someone else and that we should mostly share with each other so that everyone gets the same. 
Male,b,BCG,Pass,"Nothing specific comes to mind. In certain situations I think it's better to work together in order to make more out of it, as long as there's trust. If someone decided to trust me I wouldn't feel good to break that trust, as long as it doesn't have a negative impact on me."
Male,b,BCG,Pass,It's trying to see the selfishness of man. Reminds me of UK game show GoldenBalls.
Male,a,BCG,Hold,I think the idea is to weigh up reward and consequence. We do not know what the other player will do. You have to think what your actions will cause.
Female,b,BCG,Hold,"I think that this interaction is inspired by the games theory. It also illustrates that people can sometimes be jerks, if they are given the choice (here : earning more as a jerk than as a good person). Cames theory is actually very much present in everyday's life (sadly). "
Female,b,BCG,Pass,"It reminds me that those who don't take risks don't gain anything, while those who risk something are gambling to win more or lose it all, or at least a significant portion."
Male,b,BCG,Pass,I feel it is trying to capture the himan nature between sharing or being greedy and keeping things for yourself
Male,b,BCG,Pass,"it reminds me about making decisions in the shop when i'm buying something, because i need to think if i really need to spend my money on it or save the money for later"
Female,b,BCG,Pass,when in college you share a homework with your classmate and help eachother
Female,a,BCG,Pass,"Every day, we can make choices that could help others, but sometimes we don't want to help others, so we don't think about what we could win, we just think about the other's benefit, selfish people don't help others even if there is going to be a benefit for both parts, because only they want to win."
Female,a,BCG,Pass,In my mind this interaction feels close to gambling or cryptocurrency investing. Since there is always the risk of loosing all of our money. In this interaction the crucial part is trust we put in strangers when hoping to make money.
Male,a,BCG,Pass,in the my daily life this reminds me of the relationship between my studies and using my cellphone or laptop for other activities 
Male,b,BCG,Hold,"That in the daily life one should always look after your things, because most of the times people will do the same and it is very understandable"
Male,a,BCG,Pass,"The interaction reminded me of the our system's wealth distribution in a way. When people choose to not be greedy and share, everyone benefits in the end. Which is certainly not the current status in our society."
Female,b,BCG,Pass,"It reminds me of situations where you choose to make a selfish decision or a decision that is helpful for everyone. I think that is what the game is trying to capture, the initial reaction of wanting to think for everyone or just focus on self."
Male,b,BCG,Pass,"Cant real have a clear picture of what u might be considering , perhaps the sense of decision and the way people decide when there is someone more involved"
Male,a,BCG,Pass,"Reminds me a bit of the prisoner dilemma. From daily life it reminds of group work in school, where they try to teach that if everyone works we are all graded better. The reality is not so linear, laziness can be crossed with the greed aspect of this problem"
Female,a,BCG,Pass,"I analyze if the choice I  will make will benefit me or the next person in any way, if it does I go for it and if doesn't then I don't do it."
Female,a,BCG,Pass,"I was in a negotiation with my employer recently. Given the unequal economic power they sort of had the upper hand, however, as a professional, who knows their system inside out, I had a fair fighting chance. It was and still is a nightmare as they keep pushing their toxic agenda at me while I have to keep pushing back. "
Male,a,BCG,Hold,well its more like when you borrow money depending on how you get it back it may be a surplus or deficit
Male,a,BCG,Hold,i think it is trying to show how you never know the next persons move. You make a move in life and can only hope that the next person makes a move that will benefit the both of you but you never truly know until the end result 
Male,a,BCG,Pass," It's about finding a way for everyone to gain the maximum possible benefit. The optimal distribution is 15 chips for each player. Both players win 50% of what they wager. The second distribution is very unequal and carries the risk of leaving both players with 10 chips each instead of 15 each. This concept can be applied in everyday life in many situations, such as negotiations at work, family agreements, or the distribution of tasks among friends. The idea is to seek solutions that benefit all parties involved in an equitable manner."
Male,b,BCG,Hold,"reminds me of simple life choices one has to make in order to survive daily, the choices you make on what you going to do or when you are going to buy or sell something, stuff like that."
Male,b,BCG,Pass,"This reminds me of life, financial and economic life. You receive money from your work and you can either spend it all or you can invest it and later on you can reap more profits. You choose how you take the best from time invested (working)"
Male,b,BCG,Pass,"It teaches a lesson on patience, to not rush into quickly settling for what is available as there is more "
Female,b,BCG,Pass,It reminds me my studies when our teachers told us that it is better to cooparate and it's based on studies and science.
Female,b,BCG,Pass,This interaction remainds me of experiences that involve risk taking. I do not participate in hazard but it is a hazard of sorts. It could also be trying to capture greed vs trust in strangers.
Male,a,BCG,Hold,"It's hard to make a decision if you don't have the knowledge available, and you have to base it only on what you've seen for a while. There is not even a ULM graphic to check the pattern. The problem is memory and this type of task. It's all about whether we are people going out in front or waiting for the opponent to move."
Female,a,BCG,Pass,"I think it is trying to emulate everyday choices that people are faced with. We can choose to play it safe and keep an amount to ourselves, or we can work together and think about mutual gain."
Male,b,BCG,Hold,"Generosity and trust. If you are generous and decide to try and share something, someone may take advantage and leave you worse off. It reminds me of a gameshow called Golden Balls where 2 players choose âsplitâ or âstealâ to win the prize fund. If one player chooses split and the other steals they take it all, if one steals they take it all, but if both steal then both get nothing."
Female,b,BCG,Pass,"I think it reflects the basis of decision making when you have no clue on the future, or on your ""opponent"" thoughts. Sometimes you have to take risks."
Female,a,BCG,Hold,"The interaction reminds me that nothing is certain, challange yourself and attempt the impossible in order to improve yourself as a person. The interction reminds me tha we have to be humble and ask for help where needed"
Female,a,BCG,Hold,"in my personal case, this interaction reminds me of the possibilities i have of encountering people using the kitchen in my shared flat. sometimes i decide to avoid a certain hour because i think everybody will be there and then i find out no one was; some other times i go at usual dinner time and find everyone; etc. i am not sure what the researchers' purpose is though,"
Female,a,BCG,Hold,"When at work, there is competition with other companies, and your team decides whether to progress and come up with the best proposal or if a member of your team (or you) decides to do nothing, resulting in losses for the company."
Male,a,BCG,Pass,This reminds me that you should always take risks. Taking risks leads to victory in most cases. You cannot hesitate when making important decisions
Male,b,BCG,Pass,I choose to pass because i think it benefit us both than to hold.i think the interaction is trying to see how people think when it comes to sharing benefits with others.
Female,a,BCG,Hold,"It sounds like when you make cryptocurrency investments, you don't know how much you'll ultimately gain because the value can both rise and fall, and it's not up to you but rather dependent on market dynamics. It's like having blind trust in what might happen."
Male,a,BCG,Pass,"Helping others in your university career has generally brought you many benefits because you've received assistance in areas that you find more challenging. This highlights the importance of collaboration and mutual support, as it can lead to a more well-rounded and successful academic experience."
Female,b,BCG,Hold,I think it has something to do with money? I actually don't really know. Or like something about a society research
Male,b,BCG,Hold,It is trying to capture the move in which I make everyday. Look at the hard ones and the easy ones as well. And whether I am able to make decisions based on current or future benefits.
Female,a,BCG,Pass,I think it is trying to capture decision making for different alternatives that have varying degrees of losses or gains. It looks at how people balance those alternatives and the risk they choose or forfeit by making their decision.
Female,b,BCG,Pass,"I would say that what this study is trying to capture is that you will always get better results working on teams. That way everybody will win, else if everybody plays solo, the results will be maybe good a couple of times, but after a while you could stop receiving other people help.  "
Female,a,BCG,Pass,Society greed. Their willingness to lose everything rather than have someone else share. Very true in this world today.
Female,b,BCG,Hold,"This interaction reminds me of people who take advantage of others. If they offer their help, it is possible that those people may be taken advantage of despite being good. That is a risk some people are not willing to take."
Female,a,BCG,Pass,"The ability to share and to trust another human being vs. incapacity of doing so, and only trust ourselves. I think it can also describe gambling; although this involves humans and the capacity of trusting one another."
